url,path,path_depth,slug_tokens,action,object,scene,intent_category,notes,lastmod
https://unblurimage.ai/,/,0,,,,,unknown,,2025-12-15
https://unblurimage.ai/text-enhancer/,/text-enhancer/,1,text enhancer,,text,,general-text,text related utility.,2025-12-15
https://unblurimage.ai/image-upscaler/,/image-upscaler/,1,image upscaler,,image,,general-image,image related utility.,2025-12-15
https://unblurimage.ai/photo-enhancer/,/photo-enhancer/,1,photo enhancer,,photo,,general-photo,photo related utility.,2025-12-15
https://unblurimage.ai/old-photo-restoration/,/old-photo-restoration/,1,old photo restoration,,photo,,general-photo,photo related utility.,2025-12-15
https://unblurimage.ai/blur-remover/,/blur-remover/,1,blur remover,blur,blur,,blur-blur,Apply blur to the blur for focus or privacy.,2025-12-15
https://unblurimage.ai/blur-to-clear/,/blur-to-clear/,1,blur to clear,blur,blur,,blur-blur,Apply blur to the blur for focus or privacy.,2025-12-15
https://unblurimage.ai/denoise-image/,/denoise-image/,1,denoise image,denoise,image,,denoise-image,Reduce noise/grain in the image.,2025-12-15
https://unblurimage.ai/sora-enhancer/,/sora-enhancer/,1,sora enhancer,,,,unknown,,2025-12-15
https://unblurimage.ai/upscale-video/,/upscale-video/,1,upscale video,upscale,video,,upscale-video,Increase resolution/size of the video without losing quality.,2025-12-15
https://unblurimage.ai/video-enhancer/,/video-enhancer/,1,video enhancer,,video,,general-video,video related utility.,2025-12-15
https://unblurimage.ai/unblur-video/,/unblur-video/,1,unblur video,unblur,video,,unblur-video,Make blurry video clear and readable.,2025-12-15
https://unblurimage.ai/pricing/,/pricing/,1,pricing,,,,unknown,,2025-12-15
https://unblurimage.ai/contact/,/contact/,1,contact,,,,unknown,,2025-12-15
https://unblurimage.ai/terms-of-service/,/terms-of-service/,1,terms of service,,,,unknown,,2025-12-15
https://unblurimage.ai/privacy-policy/,/privacy-policy/,1,privacy policy,,,,unknown,,2025-12-15
https://unblurimage.ai/video-enhancer/,/video-enhancer/,1,video enhancer,,video,,general-video,video related utility.,2025-12-15
https://unblurimage.ai/blog/change-resolution-of-a-picture/,/blog/change-resolution-of-a-picture/,2,change resolution of a picture,,picture,,general-picture,picture related utility.,2025-12-15
